bucket,mean_x,mean_ret,n,bucket_label,bucket_idx,horizon
"(2.999, 8.0]",5.945205479452055,-0.0025140207433889793,146,"(2.999, 8.0]",0,5
"(2.999, 8.0]",5.945205479452055,-0.004268511502720806,146,"(2.999, 8.0]",0,10
"(2.999, 8.0]",5.945205479452055,-0.005260153681678713,146,"(2.999, 8.0]",0,20
"(8.0, 12.0]",10.842105263157896,-0.0018652032458455767,95,"(8.0, 12.0]",1,5
"(8.0, 12.0]",10.842105263157896,-0.004087057578251401,95,"(8.0, 12.0]",1,10
"(8.0, 12.0]",10.842105263157896,-0.00224431597291745,95,"(8.0, 12.0]",1,20
"(12.0, 18.0]",16.35576923076923,-0.0006203981782677495,104,"(12.0, 18.0]",2,5
"(12.0, 18.0]",16.35576923076923,-0.0026617528835132295,104,"(12.0, 18.0]",2,10
"(12.0, 18.0]",16.35576923076923,-0.003122202234324842,104,"(12.0, 18.0]",2,20
"(18.0, 25.0]",22.625,-0.001677883387622596,80,"(18.0, 25.0]",3,5
"(18.0, 25.0]",22.625,-0.0025318748632034193,80,"(18.0, 25.0]",3,10
"(18.0, 25.0]",22.625,-0.001545891570524162,80,"(18.0, 25.0]",3,20
